破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
121 	 277 	 1 	 0.5 	 1 	 25
122 	 279 	 1 	 0.5 	 2 	 100
123 	 283 	 1 	 0.5 	 1 	 25
124 	 286 	 1 	 0.5 	 1 	 25
125 	 288 	 1 	 0.5 	 1 	 25
126 	 292 	 1 	 0.5 	 2 	 350
127 	 293 	 1 	 0.5 	 1 	 25
128 	 294 	 1 	 0.5 	 1 	 25
129 	 297 	 1 	 0.5 	 1 	 25
130 	 298 	 1 	 0.5 	 2 	 100
131 	 299 	 1 	 0.5 	 1 	 25
132 	 305 	 1 	 0.5 	 1 	 25
133 	 308 	 1 	 0.5 	 1 	 50
134 	 312 	 1 	 0.5 	 1 	 25
135 	 313 	 1 	 0.5 	 2 	 200
136 	 331 	 1 	 0.5 	 1 	 62.5
137 	 336 	 1 	 0.5 	 1 	 50
