破坏编号 	 所在管线编号 	 该管线上破坏破坏次序 	 破坏点与前点之间长度比例 	 破坏类型 	 渗漏面积等效直径（mm）
42 	 97 	 1 	 0.5 	 1 	 25
43 	 100 	 1 	 0.5 	 2 	 150
44 	 104 	 1 	 0.5 	 2 	 100
45 	 105 	 1 	 0.5 	 1 	 25
46 	 107 	 1 	 0.5 	 2 	 125
47 	 108 	 1 	 0.5 	 1 	 25
48 	 110 	 1 	 0.5 	 1 	 31.25
49 	 112 	 1 	 0.5 	 2 	 150
50 	 113 	 1 	 0.5 	 1 	 37.5
51 	 114 	 1 	 0.5 	 2 	 150
52 	 115 	 1 	 0.5 	 1 	 31.25
53 	 118 	 1 	 0.5 	 1 	 25
54 	 119 	 1 	 0.5 	 1 	 25
55 	 123 	 1 	 0.5 	 1 	 31.25
56 	 127 	 1 	 0.5 	 1 	 31.25
57 	 128 	 1 	 0.5 	 2 	 125
58 	 130 	 1 	 0.5 	 2 	 125
59 	 131 	 1 	 0.5 	 2 	 125
60 	 134 	 1 	 0.5 	 1 	 37.5
61 	 135 	 1 	 0.5 	 1 	 50
62 	 136 	 1 	 0.5 	 1 	 37.5
63 	 139 	 1 	 0.5 	 2 	 200
64 	 142 	 1 	 0.5 	 1 	 37.5
65 	 144 	 1 	 0.5 	 1 	 25
66 	 147 	 1 	 0.5 	 1 	 25
67 	 155 	 1 	 0.5 	 2 	 200
68 	 156 	 1 	 0.5 	 1 	 50
69 	 157 	 1 	 0.5 	 1 	 75
70 	 162 	 1 	 0.5 	 1 	 50
71 	 164 	 1 	 0.5 	 2 	 200
72 	 168 	 1 	 0.5 	 1 	 31.25
73 	 169 	 1 	 0.5 	 2 	 125
74 	 171 	 1 	 0.5 	 1 	 37.5
75 	 172 	 1 	 0.5 	 1 	 37.5
76 	 175 	 1 	 0.5 	 1 	 31.25
77 	 177 	 1 	 0.5 	 2 	 150
78 	 178 	 1 	 0.5 	 2 	 200
79 	 181 	 1 	 0.5 	 1 	 25
80 	 182 	 1 	 0.5 	 1 	 25
81 	 183 	 1 	 0.5 	 1 	 50
82 	 185 	 1 	 0.5 	 2 	 125
83 	 187 	 1 	 0.5 	 1 	 31.25
84 	 189 	 1 	 0.5 	 2 	 100
85 	 190 	 1 	 0.5 	 2 	 100
86 	 191 	 1 	 0.5 	 1 	 37.5
87 	 201 	 1 	 0.5 	 1 	 25
88 	 204 	 1 	 0.5 	 2 	 100
89 	 206 	 1 	 0.5 	 1 	 31.25
90 	 207 	 1 	 0.5 	 1 	 31.25
91 	 208 	 1 	 0.5 	 1 	 31.25
92 	 209 	 1 	 0.5 	 1 	 31.25
93 	 211 	 1 	 0.5 	 1 	 25
94 	 215 	 1 	 0.5 	 1 	 25
95 	 222 	 1 	 0.5 	 1 	 25
96 	 223 	 1 	 0.5 	 1 	 25
97 	 225 	 1 	 0.5 	 2 	 125
98 	 226 	 1 	 0.5 	 1 	 25
99 	 227 	 1 	 0.5 	 1 	 25
100 	 229 	 1 	 0.5 	 1 	 25
101 	 233 	 1 	 0.5 	 1 	 25
102 	 234 	 1 	 0.5 	 1 	 25
103 	 236 	 1 	 0.5 	 1 	 25
104 	 237 	 1 	 0.5 	 1 	 25
105 	 238 	 1 	 0.5 	 1 	 25
106 	 243 	 1 	 0.5 	 1 	 25
107 	 244 	 1 	 0.5 	 2 	 100
108 	 247 	 1 	 0.5 	 1 	 25
109 	 252 	 1 	 0.5 	 1 	 25
110 	 255 	 1 	 0.5 	 1 	 31.25
111 	 257 	 1 	 0.5 	 1 	 37.5
112 	 262 	 1 	 0.5 	 1 	 25
113 	 264 	 1 	 0.5 	 1 	 25
114 	 274 	 1 	 0.5 	 2 	 100
115 	 275 	 1 	 0.5 	 1 	 25
116 	 277 	 1 	 0.5 	 2 	 100
117 	 278 	 1 	 0.5 	 1 	 25
118 	 281 	 1 	 0.5 	 1 	 37.5
119 	 282 	 1 	 0.5 	 2 	 100
120 	 284 	 1 	 0.5 	 2 	 100
121 	 285 	 1 	 0.5 	 1 	 25
122 	 286 	 1 	 0.5 	 1 	 25
123 	 287 	 1 	 0.5 	 1 	 25
124 	 290 	 1 	 0.5 	 1 	 87.5
125 	 293 	 1 	 0.5 	 1 	 25
126 	 295 	 1 	 0.5 	 1 	 25
127 	 296 	 1 	 0.5 	 1 	 25
128 	 297 	 1 	 0.5 	 1 	 25
129 	 303 	 1 	 0.5 	 2 	 100
130 	 304 	 1 	 0.5 	 2 	 100
131 	 305 	 1 	 0.5 	 1 	 25
132 	 308 	 1 	 0.5 	 1 	 50
133 	 310 	 1 	 0.5 	 1 	 25
134 	 311 	 1 	 0.5 	 1 	 25
135 	 313 	 1 	 0.5 	 1 	 50
136 	 331 	 1 	 0.5 	 2 	 250
137 	 336 	 1 	 0.5 	 1 	 50
